attendance,study_hours,previous_marks,assignment_score,internal_marks,previous_gpa,participation,backlogs,composite_score,performance
83.0,4.7,61.2,99.9,59.1,7.82,6,1,70.2,Good
74.1,5.3,60.7,75.8,65.1,5.67,6,0,71.6,Good
85.1,3.3,39.3,85.3,60.4,6.04,7,1,58.3,Average
97.3,2.8,62.7,75.5,71.8,5.73,8,1,64.7,Average
72.7,2.1,79.7,64.0,89.2,6.91,5,1,56.9,Average
72.7,2.5,47.6,40.4,57.7,8.74,5,0,56.2,Average
98.1,8.5,84.8,77.1,86.0,7.09,9,1,80.1,Excellent
86.7,5.8,75.8,62.4,57.5,6.48,6,0,69.0,Good
69.4,1.6,56.3,62.0,56.4,4.96,4,1,51.9,Average
83.6,1.7,65.7,66.5,83.1,7.87,6,1,65.3,Good
69.5,4.6,93.6,100.0,84.8,6.01,6,0,76.3,Good
69.5,4.7,79.7,100.0,83.6,7.26,10,0,76.0,Good
79.4,4.7,68.1,77.3,48.9,6.6,8,1,60.4,Average
49.2,3.4,64.2,67.0,62.5,8.27,9,1,51.8,Average
51.9,3.6,69.2,56.3,83.2,6.88,8,0,60.1,Average
68.1,4.3,59.8,81.0,70.7,7.02,8,2,52.7,Average
61.8,3.9,34.3,100.0,52.8,7.78,5,2,52.3,Average
80.4,0.5,99.0,70.3,77.3,10.0,6,0,72.8,Good
63.3,3.4,70.5,38.3,58.6,8.34,5,0,59.9,Average
56.2,2.4,74.4,84.1,98.7,6.98,6,0,64.3,Average
96.5,4.1,67.1,88.8,94.7,7.1,8,1,70.1,Good
72.8,8.5,56.2,50.2,79.7,6.37,7,1,66.8,Good
76.9,4.4,65.0,76.6,91.8,5.77,9,1,67.8,Good
56.1,3.3,42.4,80.8,71.0,6.33,4,2,47.6,Poor
68.4,5.3,99.0,72.9,82.2,6.02,8,0,75.8,Good
77.6,4.6,48.2,62.1,93.6,8.01,4,0,72.4,Good
59.9,4.5,51.5,89.2,73.9,5.6,7,3,52.9,Average
81.3,4.8,61.0,67.9,65.9,8.97,8,1,72.0,Good
67.6,7.1,88.6,51.7,42.7,8.15,6,0,73.8,Good
71.9,2.0,68.2,43.3,68.7,7.13,8,2,57.1,Average
67.6,4.6,48.2,92.9,83.2,7.1,5,3,51.0,Average
100.0,2.3,88.1,83.2,85.1,6.32,3,0,77.3,Good
75.8,4.7,79.7,75.3,78.1,7.48,8,0,72.3,Good
61.2,2.3,76.6,67.4,61.3,8.62,10,3,45.7,Poor
87.5,3.1,79.5,66.1,38.4,6.12,5,1,64.4,Average
58.9,3.3,99.0,57.9,62.1,4.95,9,0,64.3,Average
78.9,5.4,99.0,67.5,65.1,8.08,7,0,73.2,Good
48.6,5.3,57.0,42.2,65.0,7.55,4,1,50.7,Average
57.4,1.8,94.0,63.0,79.9,5.53,4,1,56.4,Average
78.8,3.9,74.1,69.3,100.0,6.07,7,0,70.3,Good
86.3,2.7,76.0,83.1,72.0,5.9,6,1,64.6,Average
78.4,1.8,40.9,73.4,66.5,6.09,4,2,53.5,Average
